time	FR_Y	FR_O
1984m1	0.048	0.022
1984m2	0.043	0.021
1984m3	0.037	0.019
1984m4	0.038	0.018
1984m5	0.038	0.018
1984m6	0.037	0.018
1984m7	0.037	0.021
1984m8	0.039	0.019
1984m9	0.046	0.016
1984m10	0.042	0.018
1984m11	0.031	0.018
1984m12	0.038	0.017
1985m1	0.040	0.017
1985m2	0.041	0.018
1985m3	0.044	0.020
1985m4	0.042	0.018
1985m5	0.038	0.017
1985m6	0.041	0.022
1985m7	0.039	0.015
1985m8	0.035	0.018
1985m9	0.036	0.018
1985m10	0.034	0.017
1985m11	0.032	0.013
1985m12	0.036	0.014
1986m1	0.037	0.016
1986m2	0.036	0.008
1986m3	0.040	0.017
1986m4	0.033	0.015
1986m5	0.039	0.020
1986m6	0.043	0.018
1986m7	0.041	0.017
1986m8	0.039	0.017
1986m9	0.036	0.023
1986m10	0.039	0.021
1986m11	0.044	0.019
1986m12	0.040	0.020
1987m1	0.040	0.016
1987m2	0.040	0.018
1987m3	0.036	0.014
1987m4	0.043	0.020
1987m5	0.043	0.017
1987m6	0.034	0.015
1987m7	0.032	0.020
1987m8	0.041	0.016
1987m9	0.040	0.012
1987m10	0.038	0.013
1987m11	0.035	0.016
1987m12	0.039	0.014
1988m1	0.036	0.016
1988m2	0.034	0.017
1988m3	0.043	0.013
1988m4	0.037	0.014
1988m5	0.031	0.013
1988m6	0.027	0.014
1988m7	0.037	0.014
1988m8	0.032	0.015
1988m9	0.032	0.011
1988m10	0.036	0.018
1988m11	0.039	0.018
1988m12	0.039	0.016
1989m1	0.034	0.014
1989m2	0.041	0.013
1989m3	0.037	0.017
1989m4	0.032	0.014
1989m5	0.034	0.014
1989m6	0.033	0.015
1989m7	0.037	0.015
1989m8	0.035	0.015
1989m9	0.035	0.017
1989m10	0.030	0.012
1989m11	0.032	0.011
1989m12	0.031	0.015
1990m1	0.028	0.015
1990m2	0.030	0.015
1990m3	0.030	0.017
1990m4	0.038	0.018
1990m5	0.031	0.015
1990m6	0.032	0.017
1990m7	0.029	0.012
1990m8	0.029	0.013
1990m9	0.030	0.014
1990m10	0.031	0.012
1990m11	0.027	0.010
1990m12	0.026	0.013
1991m1	0.021	0.014
1991m2	0.034	0.014
1991m3	0.024	0.010
1991m4	0.029	0.012
1991m5	0.028	0.013
1991m6	0.030	0.011
1991m7	0.027	0.013
1991m8	0.033	0.012
1991m9	0.029	0.012
1991m10	0.028	0.011
1991m11	0.028	0.011
1991m12	0.026	0.006
1992m1	0.027	0.011
1992m2	0.024	0.010
1992m3	0.026	0.010
1992m4	0.023	0.010
1992m5	0.026	0.010
1992m6	0.025	0.010
1992m7	0.023	0.009
1992m8	0.022	0.012
1992m9	0.022	0.008
1992m10	0.023	0.010
1992m11	0.027	0.009
1992m12	0.023	0.008
1993m1	0.019	0.009
1993m2	0.026	0.008
1993m3	0.033	0.009
1993m4	0.020	0.010
1993m5	0.023	0.010
1993m6	0.022	0.008
1993m7	0.024	0.011
1993m8	0.019	0.011
1993m9	0.023	0.008
1993m10	0.025	0.010
1993m11	0.021	0.011
1993m12	0.022	0.011
1994m1	0.024	0.007
1994m2	0.023	0.008
1994m3	0.024	0.009
1994m4	0.025	0.008
1994m5	0.025	0.008
1994m6	0.023	0.006
1994m7	0.024	0.009
1994m8	0.023	0.006
1994m9	0.023	0.010
1994m10	0.021	0.011
1994m11	0.021	0.007
1994m12	0.023	0.006
1995m1	0.022	0.007
1995m2	0.020	0.009
1995m3	0.019	0.007
1995m4	0.024	0.012
1995m5	0.019	0.006
1995m6	0.024	0.009
1995m7	0.022	0.006
1995m8	0.024	0.008
1995m9	0.026	0.011
1995m10	0.023	0.010
1995m11	0.022	0.006
1995m12	0.022	0.010
1996m1	0.030	0.009
1996m2	0.018	0.008
1996m3	0.024	0.010
1996m4	0.018	0.008
1996m5	0.018	0.007
1996m6	0.018	0.010
1996m7	0.017	0.006
1996m8	0.018	0.008
1996m9	0.016	0.006
1996m10	0.020	0.005
1996m11	0.021	0.007
1996m12	0.018	0.005
1997m1	0.013	0.006
1997m2	0.022	0.006
1997m3	0.022	0.003
1997m4	0.014	0.004
1997m5	0.027	0.008
1997m6	0.019	0.006
1997m7	0.024	0.006
1997m8	0.018	0.006
1997m9	0.016	0.004
1997m10	0.016	0.003
1997m11	0.021	0.007
1997m12	0.018	0.006
1998m1	0.016	0.006
1998m2	0.029	0.006
1998m3	0.013	0.007
1998m4	0.015	0.006
1998m5	0.020	0.008
1998m6	0.018	0.004
1998m7	0.015	0.007
1998m8	0.019	0.006
1998m9	0.022	0.007
1998m10	0.017	0.007
1998m11	0.017	0.005
1998m12	0.020	0.007
1999m1	0.021	0.011
1999m2	0.013	0.007
1999m3	0.015	0.004
1999m4	0.023	0.007
1999m5	0.015	0.005
1999m6	0.017	0.004
1999m7	0.019	0.006
1999m8	0.021	0.007
1999m9	0.019	0.007
1999m10	0.021	0.007
1999m11	0.017	0.005
1999m12	0.016	0.006
2000m1	0.016	0.005
2000m2	0.017	0.006
2000m3	0.020	0.006
2000m4	0.021	0.006
2000m5	0.017	0.010
2000m6	0.020	0.007
2000m7	0.015	0.003
2000m8	0.015	0.006
2000m9	0.017	0.004
2000m10	0.025	0.006
2000m11	0.017	0.007
2000m12	0.016	0.007
2001m1	0.021	0.008
2001m2	0.022	0.007
2001m3	0.019	0.009
2001m4	0.017	0.008
2001m5	0.019	0.007
2001m6	0.017	0.008
