time	FR_Y	FR_O
1984q1	0.127	0.064
1984q2	0.113	0.052
1984q3	0.122	0.054
1984q4	0.114	0.053
1985q1	0.123	0.058
1985q2	0.121	0.057
1985q3	0.111	0.050
1985q4	0.102	0.045
1986q1	0.110	0.043
1986q2	0.115	0.052
1986q3	0.116	0.056
1986q4	0.124	0.061
1987q1	0.113	0.047
1987q2	0.121	0.050
1987q3	0.113	0.046
1987q4	0.111	0.043
1988q1	0.112	0.045
1988q2	0.096	0.039
1988q3	0.103	0.039
1988q4	0.114	0.054
1989q1	0.109	0.046
1989q2	0.100	0.043
1989q3	0.107	0.046
1989q4	0.093	0.041
1990q1	0.088	0.047
1990q2	0.102	0.050
1990q3	0.087	0.039
1990q4	0.084	0.038
1991q1	0.077	0.037
1991q2	0.087	0.035
1991q3	0.090	0.036
1991q4	0.082	0.030
1992q1	0.077	0.031
1992q2	0.075	0.028
1992q3	0.068	0.029
1992q4	0.072	0.028
1993q1	0.079	0.025
1993q2	0.066	0.028
1993q3	0.065	0.029
1993q4	0.069	0.032
1994q1	0.072	0.023
1994q2	0.072	0.021
1994q3	0.070	0.024
1994q4	0.065	0.024
1995q1	0.062	0.022
1995q2	0.066	0.025
1995q3	0.071	0.023
1995q4	0.068	0.027
1996q1	0.074	0.029
1996q2	0.053	0.023
1996q3	0.051	0.020
1996q4	0.062	0.017
1997q1	0.055	0.015
1997q2	0.060	0.018
1997q3	0.057	0.015
1997q4	0.056	0.017
1998q1	0.055	0.019
1998q2	0.051	0.018
1998q3	0.056	0.020
1998q4	0.054	0.020
1999q1	0.052	0.021
1999q2	0.056	0.016
1999q3	0.058	0.021
1999q4	0.053	0.018
2000q1	0.054	0.016
2000q2	0.059	0.023
2000q3	0.048	0.013
2000q4	0.058	0.020
2001q1	0.062	0.022
2001q2	0.052	0.022
2001q3	0.055	0.020
2001q4	0.058	0.020
2002q1	0.068	0.020
2002q2	0.057	0.021
2002q3	0.058	0.023
2002q4	0.062	0.021
